timestamp,agent,model,prompt_tokens,completion_tokens,total_tokens,response_time_ms,status,error_message,npc_id,attempt_number
2025-12-02T22:18:23.546121,unknown,gpt-3.5-turbo,2338,162,2500,2501.28,success,,,1
2025-12-02T22:18:25.672231,dinamic_emotion,gpt-3.5-turbo,1400,192,1592,2093.24,success,,,1
2025-12-02T22:18:28.477103,context_awareness,gpt-3.5-turbo,1120,155,1275,2790.82,success,,,1
2025-12-02T22:18:31.196699,planner,gpt-3.5-turbo,1408,281,1689,2715.05,success,,,1
2025-12-02T22:18:33.256242,dialogue,gpt-3.5-turbo,752,184,936,2052.23,success,,,1
2025-12-02T22:18:35.289323,critic,gpt-3.5-turbo,1631,125,1756,2025.24,success,,,1
2025-12-02T22:18:41.229342,relationship,gpt-3.5-turbo,1376,177,1553,2197.85,success,,,1
2025-12-02T22:18:42.354558,unknown,gpt-3.5-turbo,2596,27,2623,1110.38,success,,,1
2025-12-02T22:38:49.458142,auto_memorize,gpt-4.1-mini,2031,27,2058,1888.15,success,,kira,1
2025-12-02T22:38:52.868993,dinamic_emotion,gpt-4.1-mini,1266,161,1427,3389.05,success,,,1
2025-12-02T22:38:56.068615,context_awareness,gpt-4.1-mini,952,173,1125,3191.54,success,,,1
2025-12-02T22:39:01.631263,planner,gpt-4o,1209,238,1447,5554.58,success,,,1
2025-12-02T22:39:05.010829,dialogue,gpt-4o,697,201,898,3372.06,success,,,1
2025-12-02T22:39:07.577619,critic,gpt-4.1,1404,76,1480,2559.01,success,,,1
2025-12-02T22:39:13.410092,relationship,gpt-4.1-mini,1246,172,1418,2498.37,success,,,1
2025-12-02T22:39:15.235002,auto_memorize,gpt-4.1-mini,2111,69,2180,1812.21,success,,kira,1
2025-12-02T23:49:44.599239,auto_memorize,gpt-4.1-mini,2231,153,2384,3470.38,success,,raven,1
2025-12-02T23:49:47.821534,dinamic_emotion,gpt-4.1-mini,1216,173,1389,3185.55,success,,,1
2025-12-02T23:49:52.074326,context_awareness,gpt-4.1-mini,945,168,1113,4246.04,success,,,1
2025-12-02T23:49:56.723899,planner,gpt-4o,1211,240,1451,4641.37,success,,,1
2025-12-02T23:50:01.687881,dialogue,gpt-4o,683,175,858,4957.03,success,,,1
2025-12-02T23:50:03.277089,critic,gpt-4.1,1374,44,1418,1573.18,success,,,1
2025-12-02T23:50:11.878430,relationship,gpt-4.1-mini,1209,178,1387,3293.18,success,,,1
2025-12-02T23:50:13.083951,auto_memorize,gpt-4.1-mini,2460,21,2481,1193.76,success,,raven,1
2025-12-02T23:55:30.544690,auto_memorize,gpt-4.1-mini,2404,21,2425,1032.91,success,,raven,1
2025-12-02T23:55:33.823499,dinamic_emotion,gpt-4.1-mini,1238,173,1411,3264.76,success,,,1
2025-12-02T23:55:36.628687,context_awareness,gpt-4.1-mini,953,150,1103,2793.21,success,,,1
2025-12-02T23:55:42.218772,planner,gpt-4o,1193,229,1422,5582.59,success,,,1
2025-12-02T23:55:45.416891,dialogue,gpt-4o,662,167,829,3190.72,success,,,1
2025-12-02T23:55:49.423425,critic,gpt-4.1,1365,185,1550,3998.71,success,,,1
2025-12-02T23:55:59.527402,relationship,gpt-4.1-mini,1346,173,1519,3353.66,success,,,1
2025-12-02T23:56:01.476657,auto_memorize,gpt-4.1-mini,2593,27,2620,1933.19,success,,raven,1
2025-12-02T23:57:55.904992,auto_memorize,gpt-4.1-mini,2408,21,2429,1077.77,success,,raven,1
2025-12-02T23:57:59.435447,dinamic_emotion,gpt-4.1-mini,1260,179,1439,3508.55,success,,,1
2025-12-02T23:58:01.834826,context_awareness,gpt-4.1-mini,947,140,1087,2390.28,success,,,1
2025-12-02T23:58:05.717280,planner,gpt-4o,1189,256,1445,3873.24,success,,,1
2025-12-02T23:58:08.003169,dialogue,gpt-4o,651,166,817,2278.37,success,,,1
2025-12-02T23:58:11.586036,critic,gpt-4.1,1379,175,1554,3576.28,success,,,1
2025-12-02T23:58:21.916681,relationship,gpt-4.1-mini,1335,167,1502,3021.13,success,,,1
2025-12-02T23:58:23.159569,auto_memorize,gpt-4.1-mini,2587,39,2626,1229.0,success,,raven,1
2025-12-03T00:05:06.368430,auto_memorize,gpt-4.1-mini,2379,79,2458,1938.56,success,,ezra,1
2025-12-03T00:05:09.955150,dinamic_emotion,gpt-4.1-mini,1213,167,1380,3559.75,success,,,1
2025-12-03T00:05:13.103605,context_awareness,gpt-4.1-mini,965,180,1145,3142.2,success,,,1
